Original_MDOT_Name,Standardized_Name,Edge_Nodes,AADT_Current,Station_Description,Match_Type
ALLENSWOOD RD,ALLENSWOOD RD,"[{37698176, 37713031, 37643657, 37713044, 37713048, 37660700, 37564958, 2129416350, 37623200, 37673124, 37713061, 37712940, 393530157, 37579181, 37635118, 37569458, 37712948, 37655605, 37712953, 37653947, 37713085, 37668557, 37635279, 37638741, 37581398, 37712993, 37713125, 37712997, 37712999, 37713133, 37653999, 37713141, 37713142, 37713143}]",1665,ALLENSWOOD RD - .10 MILE WEST OF OLD COURT RD,exact
ALLENSWOOD RD,ALLENSWOOD RD,"[{37698176, 37713031, 37643657, 37713044, 37713048, 37660700, 37564958, 2129416350, 37623200, 37673124, 37713061, 37712940, 393530157, 37579181, 37635118, 37569458, 37712948, 37655605, 37712953, 37653947, 37713085, 37668557, 37635279, 37638741, 37581398, 37712993, 37713125, 37712997, 37712999, 37713133, 37653999, 37713141, 37713142, 37713143}]",1185,ALLENSWOOD RD - BETWEEN OFFUTT & LAMOINE RD,exact
ALRICKS WAY,ALRICKS WY,"[{49417989, 49464806, 1291308510, 49417933, 49543630, 5042166928, 5155999381, 49497366, 49477918}]",235,ALRICKS WAY - BETWEEN ARMSTEAD WAY & SPANGLER WAY,exact
ALTER ST,ALTER ST,"[{37584577, 37670212, 37775786, 37835467, 37338098, 37905172, 37905174, 37780219, 37685245, 37775774}]",6145,ALTER ST - BETWEEN PATTERSON AVE & CHISHOLM DR,exact
ALTER ST,ALTER ST,"[{37584577, 37670212, 37775786, 37835467, 37338098, 37905172, 37905174, 37780219, 37685245, 37775774}]",7555,ALTER ST - BETWEEN CAMPFIELD RD & NORTH ALTER ST,exact
ALVERTA AVE,ALVERTA AVE,"[{37746441, 37705004, 37662334, 37793879}]",975,ALVERTA AVE -.10 MILE NORTH OF MD 147,exact
ANDRE ST,ANDRE ST,"[{49481223, 49481225, 49481227, 49479436, 8959520461}]",2495,ANDRE ST-.10 MI S OF FORT AVE,exact
ANNAPOLIS RD,ANNAPOLIS RD,"[{37302911, 2007727759, 37751315, 37693588, 37668118, 37448855, 37632279, 37040152, 49467423, 49466656, 37693601, 37621794, 49392932, 37592231, 49468971, 49468972, 49468983, 37655228, 49468992, 49468993, 49429698, 49468994, 49468995, 37586629, 49468997, 49468996, 37693520, 37693523, 37644372, 37693531, 49444444, 37693533, 37693535, 37693537, 49439600, 49467772, 37396091, 37676412, 37040125, 37635839}]",5072,MD648E-.10 MI N OF WENBURN ST,exact
ARBUTUS AVE,ARBUTUS AVE,"[{49407619, 37740552, 37806611, 37603352, 49526432, 37806632, 37806505, 37806634, 37806511, 37542961, 37806514, 49534771, 2874901172, 37806518, 37804088, 37765946, 37788475, 37806523, 37780682, 37806544, 37693520, 2674887639, 37806556, 49526494, 2674887647, 37806564, 37779315, 9535761779}]",515,ARBUTUS AVE - .10 mile north of MD 144,exact
ARCADIA AVE,ARCADIA AVE,"[{37665092, 49510692, 37598311, 49510696, 37718638}]",933,ARCADIA AVE - Between MD 30 & Trenton Rd,exact
ARGONNE DR,ARGONNE DR,"[{49492617, 49492621, 49490964, 49458465, 49492643, 49492657, 1323164084, 49481398, 1517391543, 49492667, 49492543, 49492548, 932479172, 49492680, 49492682, 49492690, 49492567, 49483357, 2861010920, 2861010921, 49490800, 49378674, 49455602, 49485175, 49399165}]",10355,ARGONNE DR - BETWEEN THE ALAMEDA & CATOR AVE,exact
ARGONNE DR,ARGONNE DR,"[{49492617, 49492621, 49490964, 49458465, 49492643, 49492657, 1323164084, 49481398, 1517391543, 49492667, 49492543, 49492548, 932479172, 49492680, 49492682, 49492690, 49492567, 49483357, 2861010920, 2861010921, 49490800, 49378674, 49455602, 49485175, 49399165}]",8765,ARGONNE DR - BETWEEN MD 542 & TIVOLY AVE,exact
ARGONNE DR,ARGONNE DR,"[{49492617, 49492621, 49490964, 49458465, 49492643, 49492657, 1323164084, 49481398, 1517391543, 49492667, 49492543, 49492548, 932479172, 49492680, 49492682, 49492690, 49492567, 49483357, 2861010920, 2861010921, 49490800, 49378674, 49455602, 49485175, 49399165}]",7595,ARGONNE DR - .05 MILE NORTH OF MD 542,exact
ARGONNE DR,ARGONNE DR,"[{49492617, 49492621, 49490964, 49458465, 49492643, 49492657, 1323164084, 49481398, 1517391543, 49492667, 49492543, 49492548, 932479172, 49492680, 49492682, 49492690, 49492567, 49483357, 2861010920, 2861010921, 49490800, 49378674, 49455602, 49485175, 49399165}]",6275,ARGONNE DR - .20 MILE NORTH OF MD 147,exact
ARMISTEAD WAY,ARMISTEAD WY,"[{49464855, 49464806, 49464807, 49464808, 49464810, 49464812, 49464814, 49464816, 49464817, 49464818, 49464819, 49464822, 5042166774, 49464825}]",3175,ARMISTEAD WAY - BETWEEN US 40 & ALRICKS WAY,exact
ART MUSEUM DR,ART MUSEUM DR,"[{49556633, 49391538, 49497809, 49497838}]",11444,ART MUSEUM DR - .10 Mile South of MD 139,exact
ASHLAND AVE,ASHLAND AVE,"[{49544576, 49521796, 49414533, 49475206, 49573639, 1291308555, 49576855, 49576857, 49576859, 49547548, 49491612, 49530399, 49479584, 49478562, 49561381, 49541159, 49550645, 9593398838, 49569847, 49507643, 49563068, 49504446, 49528639, 49453121, 49559369, 49572042, 9485187019, 49557708, 49576911, 49540049, 49504344, 49503458, 49528051, 49524596, 49488630, 49478391, 49481080, 49565819, 9082373117}]",1862,ASHLAND AVE - BETWEEN S KRESSON ST & N HAVEN ST,exact
AUCHENTOROLY TERR (SB COUPLET),AUCHENTOROLY TER,"[{49486306, 49502691, 49440102, 49509448, 49509357, 49529389, 49529393, 49529395, 49473780, 49529396, 49529398, 49487219}]",5722,MD129 (AUCHENTOROLY TERR)-.10 MI N OF GWYNNS FALLS PKWY (ONE WAY COUPLET SB- NB SEE B240017),fuzzy
AVONDALE RD,AVONDALE RD,"[{37573505, 37758081, 37758093, 37758097, 37758112, 37418149, 37418158, 37758005, 37758007, 37758009, 37758011, 37750097, 37758035, 37675991, 37677406, 37688543, 37405409, 37664357, 2916471020, 37758066, 37758068, 37758070}]",4262,AVONDALE RD - .01 mile north of IS 695,exact
AYLESBURY RD W,W AYLESBURY RD,"[{37388740, 37385417, 37338154, 37589296, 37725750, 37622393}]",6385,AYLESBURY RD W - .10 MILE WEST OF MD 45,fuzzy
BABIKOW RD,BABIKOW RD,"[{393532452, 37635851, 37635857, 393532667, 37629468, 37635869, 2951626141}]",3005,BABIKOW RD - BETWEEN KING AVE & RIDGE RD,exact
BACK RIVER NECK RD,BACK RIVER NECK RD,"[{37831684, 602427014, 37839624, 37691913, 37247884, 37899277, 37797646, 8530590608, 2719743892, 37700501, 37899286, 37801367, 37680025, 37899291, 37578782, 37247903, 37358496, 982614564, 2906527403, 2719743921, 37899060, 37809333, 37472314, 37689403, 5760974525, 37472319, 37792455, 37895880, 1204704201, 37875918, 37899089, 37474131, 37617109, 37889243, 37607260, 37701086, 1946985952, 829668577, 37612898, 37899111, 37730025, 37689577, 37899119, 6909135862, 37831671}]",16245,BACK RIVER NECK RD - .05 MILE NORTH OF E HOMBERG AVE,exact
BACK RIVER NECK RD,BACK RIVER NECK RD,"[{37831684, 602427014, 37839624, 37691913, 37247884, 37899277, 37797646, 8530590608, 2719743892, 37700501, 37899286, 37801367, 37680025, 37899291, 37578782, 37247903, 37358496, 982614564, 2906527403, 2719743921, 37899060, 37809333, 37472314, 37689403, 5760974525, 37472319, 37792455, 37895880, 1204704201, 37875918, 37899089, 37474131, 37617109, 37889243, 37607260, 37701086, 1946985952, 829668577, 37612898, 37899111, 37730025, 37689577, 37899119, 6909135862, 37831671}]",16240,Back River Neck Rd north of Williams Ave,exact
BACK RIVER NECK RD,BACK RIVER NECK RD,"[{37831684, 602427014, 37839624, 37691913, 37247884, 37899277, 37797646, 8530590608, 2719743892, 37700501, 37899286, 37801367, 37680025, 37899291, 37578782, 37247903, 37358496, 982614564, 2906527403, 2719743921, 37899060, 37809333, 37472314, 37689403, 5760974525, 37472319, 37792455, 37895880, 1204704201, 37875918, 37899089, 37474131, 37617109, 37889243, 37607260, 37701086, 1946985952, 829668577, 37612898, 37899111, 37730025, 37689577, 37899119, 6909135862, 37831671}]",1954,BACK RIVER NECK RD - BETWEEN TURKEY POINT RD & MD 702,exact
BACK RIVER NECK RD,BACK RIVER NECK RD,"[{37831684, 602427014, 37839624, 37691913, 37247884, 37899277, 37797646, 8530590608, 2719743892, 37700501, 37899286, 37801367, 37680025, 37899291, 37578782, 37247903, 37358496, 982614564, 2906527403, 2719743921, 37899060, 37809333, 37472314, 37689403, 5760974525, 37472319, 37792455, 37895880, 1204704201, 37875918, 37899089, 37474131, 37617109, 37889243, 37607260, 37701086, 1946985952, 829668577, 37612898, 37899111, 37730025, 37689577, 37899119, 6909135862, 37831671}]",2935,BACK RIVER NECK RD - .10 MILE SOUTH OF HOLLY NECK RD,exact
BACK RIVER NECK RD,BACK RIVER NECK RD,"[{37831684, 602427014, 37839624, 37691913, 37247884, 37899277, 37797646, 8530590608, 2719743892, 37700501, 37899286, 37801367, 37680025, 37899291, 37578782, 37247903, 37358496, 982614564, 2906527403, 2719743921, 37899060, 37809333, 37472314, 37689403, 5760974525, 37472319, 37792455, 37895880, 1204704201, 37875918, 37899089, 37474131, 37617109, 37889243, 37607260, 37701086, 1946985952, 829668577, 37612898, 37899111, 37730025, 37689577, 37899119, 6909135862, 37831671}]",7115,BACK RIVER NECK RD - .10 MILE SOUTH OF MIDDLEBOROUGH RD/HILLTOP RD,exact
BAKER ST,BAKER ST,"[{49506695, 49506697, 49489674, 49506700, 49506703, 49506707, 49506710, 49506723, 49506724, 49464741, 49506729, 49506476, 49504173, 2633074606, 49506735, 49506479, 49469747, 49455797, 49401540, 49379146, 49469011, 49506644, 49461207, 49506650, 49466586, 49506652, 49506659, 49506661, 49506663, 49506666, 49466219, 49506669, 49504621, 49506673, 49457779, 49506676}]",1875,BAKER ST - BETWEEN BLOOMINGDALE RD & POPLAR GROVE ST,exact
BALDWIN MILL RD,BALDWIN MILL RD,"[{37866190, 37650704, 37866192, 37866195, 37663830, 37866107}]",5530,MD165-.50 MI S OF MD145,exact
BALDWIN MILL RD,BALDWIN MILL RD,"[{37866190, 37650704, 37866192, 37866195, 37663830, 37866107}]",5530,MD165-.50 MI S OF MD145,exact
BALDWIN MILL RD,BALDWIN MILL RD,"[{37866190, 37650704, 37866192, 37866195, 37663830, 37866107}]",5742,MD165-.10 MI S OF MD152,exact
BALTIMORE ST,BALTO ST,"[{37785088, 37648640, 37785092, 37676423, 37635849, 37718171, 37785116, 37785118, 37785120, 37404451, 37621806, 37682357, 37655222, 37691836, 1165867453, 37691838, 37691843, 37691846, 37586632, 37726029, 37641807, 37712084, 37691864, 37764061, 37592041, 37691881, 37691884, 37691885, 37618416, 37664497, 37335666, 37785084}]",4695,BALTIMORE ST - .10 MILE NORTH OF MD 151,exact
BALTIMORE WASHINGTON PKWY,BALTO-WASHINGTON PKWY,"[{49429663, 268157219, 993777284, 993777283, 267902919, 49471261, 267917007, 248801618, 49430227, 49404341, 49439573, 993777272, 1985900793, 49401849, 49471134, 1302904799}]",76673,MD295-.20 MI N OF IS895,fuzzy
BALTIMORE WASHINGTON PKWY,BALTO-WASHINGTON PKWY,"[{49429663, 268157219, 993777284, 993777283, 267902919, 49471261, 267917007, 248801618, 49430227, 49404341, 49439573, 993777272, 1985900793, 49401849, 49471134, 1302904799}]",93533,MD295-.10 MI S OF BALTIMORE CO/L,fuzzy
BALTIMORE WASHINGTON PKWY,BALTO-WASHINGTON PKWY,"[{49429663, 268157219, 993777284, 993777283, 267902919, 49471261, 267917007, 248801618, 49430227, 49404341, 49439573, 993777272, 1985900793, 49401849, 49471134, 1302904799}]",76673,MD295-.20 MI N OF IS895,fuzzy
BALTO BELTWAY,BALTO BELTWAY,"[{602433536, 602433538, 1930984963, 1328774662, 621518857, 621518858, 1930984972, 37575698, 658945556, 4244978709, 37486614, 37577243, 37576735, 37384740, 766890534, 37578285, 37575729, 366493745, 766890549, 37576760, 37576249, 1334544954, 37316156, 110590016, 1332715584, 37574728, 1905375310, 37576783, 1905375311, 37341268, 37334102, 37311063, 110356054, 37360219, 37423196, 96250976, 37412963, 37030500, 1328771173, 37577839, 11735704183, 602433660, 683302525, 671741566, 648096382, 37577347, 648096387, 37408390, 37574794, 37030029, 1332714637, 37577875, 37575831, 37423257, 1332714649, 658943135, 1334545060, 37575333, 37535416, 835034811, 37577918, 12018670784, 37574353, 9265750741, 37578460, 37318878, 1334545119, 37545185, 968161510, 110356199, 37408497, 37473528, 602416376, 602416377, 5294671102, 37397249, 37283075, 1328771340, 37575437, 112988942, 1327789838, 37575954, 37576468, 37577493, 37576986, 37475100, 105999644, 37303582, 393385757, 775383839, 37314337, 37040420, 648096036, 37574954, 37429554, 1325748024, 37097785, 1328771390, 37365574, 37367111, 8268909383, 37099338, 37240651, 582584139, 37367117, 37519185, 775383890, 37426007, 37574490, 1328774491, 266721629, 37575007, 37576031, 27029857, 1332714338, 37097829, 266721638, 103325035, 37333868, 1332714351, 1328774511, 37548402, 37577587, 658944381, 37396351, 10053084035, 1225946500, 37576583, 37039502, 37576078, 7487021968, 1332714901, 37577111, 1930984859, 1930984860, 37099422, 105790881, 37574561, 658944419, 37402536, 1332714408, 37423532, 37575084, 37347758, 11763173296, 37577137, 11763173297, 37039543, 37577657, 1930984890, 387550139, 387550140, 387550137, 37578175, 1930984895, 393530306, 1930984904, 1930984907, 37575629, 393530318, 1930984912, 1930984913, 37280722, 393530329, 37575131, 671374300, 1334544861, 664286691, 37304293, 105975273, 658944493, 602434545, 96250866, 393530356, 112934390, 37508094, 37520895}]",188084,IS 695 - 1.03 Miles South of IS 795 (ATR#78),exact
BALTO BELTWAY,BALTO BELTWAY,"[{602433536, 602433538, 1930984963, 1328774662, 621518857, 621518858, 1930984972, 37575698, 658945556, 4244978709, 37486614, 37577243, 37576735, 37384740, 766890534, 37578285, 37575729, 366493745, 766890549, 37576760, 37576249, 1334544954, 37316156, 110590016, 1332715584, 37574728, 1905375310, 37576783, 1905375311, 37341268, 37334102, 37311063, 110356054, 37360219, 37423196, 96250976, 37412963, 37030500, 1328771173, 37577839, 11735704183, 602433660, 683302525, 671741566, 648096382, 37577347, 648096387, 37408390, 37574794, 37030029, 1332714637, 37577875, 37575831, 37423257, 1332714649, 658943135, 1334545060, 37575333, 37535416, 835034811, 37577918, 12018670784, 37574353, 9265750741, 37578460, 37318878, 1334545119, 37545185, 968161510, 110356199, 37408497, 37473528, 602416376, 602416377, 5294671102, 37397249, 37283075, 1328771340, 37575437, 112988942, 1327789838, 37575954, 37576468, 37577493, 37576986, 37475100, 105999644, 37303582, 393385757, 775383839, 37314337, 37040420, 648096036, 37574954, 37429554, 1325748024, 37097785, 1328771390, 37365574, 37367111, 8268909383, 37099338, 37240651, 582584139, 37367117, 37519185, 775383890, 37426007, 37574490, 1328774491, 266721629, 37575007, 37576031, 27029857, 1332714338, 37097829, 266721638, 103325035, 37333868, 1332714351, 1328774511, 37548402, 37577587, 658944381, 37396351, 10053084035, 1225946500, 37576583, 37039502, 37576078, 7487021968, 1332714901, 37577111, 1930984859, 1930984860, 37099422, 105790881, 37574561, 658944419, 37402536, 1332714408, 37423532, 37575084, 37347758, 11763173296, 37577137, 11763173297, 37039543, 37577657, 1930984890, 387550139, 387550140, 387550137, 37578175, 1930984895, 393530306, 1930984904, 1930984907, 37575629, 393530318, 1930984912, 1930984913, 37280722, 393530329, 37575131, 671374300, 1334544861, 664286691, 37304293, 105975273, 658944493, 602434545, 96250866, 393530356, 112934390, 37508094, 37520895}]",185250,IS695-.40 MI N OF US1 (ARBUTUS),exact
BALTO BELTWAY,BALTO BELTWAY,"[{602433536, 602433538, 1930984963, 1328774662, 621518857, 621518858, 1930984972, 37575698, 658945556, 4244978709, 37486614, 37577243, 37576735, 37384740, 766890534, 37578285, 37575729, 366493745, 766890549, 37576760, 37576249, 1334544954, 37316156, 110590016, 1332715584, 37574728, 1905375310, 37576783, 1905375311, 37341268, 37334102, 37311063, 110356054, 37360219, 37423196, 96250976, 37412963, 37030500, 1328771173, 37577839, 11735704183, 602433660, 683302525, 671741566, 648096382, 37577347, 648096387, 37408390, 37574794, 37030029, 1332714637, 37577875, 37575831, 37423257, 1332714649, 658943135, 1334545060, 37575333, 37535416, 835034811, 37577918, 12018670784, 37574353, 9265750741, 37578460, 37318878, 1334545119, 37545185, 968161510, 110356199, 37408497, 37473528, 602416376, 602416377, 5294671102, 37397249, 37283075, 1328771340, 37575437, 112988942, 1327789838, 37575954, 37576468, 37577493, 37576986, 37475100, 105999644, 37303582, 393385757, 775383839, 37314337, 37040420, 648096036, 37574954, 37429554, 1325748024, 37097785, 1328771390, 37365574, 37367111, 8268909383, 37099338, 37240651, 582584139, 37367117, 37519185, 775383890, 37426007, 37574490, 1328774491, 266721629, 37575007, 37576031, 27029857, 1332714338, 37097829, 266721638, 103325035, 37333868, 1332714351, 1328774511, 37548402, 37577587, 658944381, 37396351, 10053084035, 1225946500, 37576583, 37039502, 37576078, 7487021968, 1332714901, 37577111, 1930984859, 1930984860, 37099422, 105790881, 37574561, 658944419, 37402536, 1332714408, 37423532, 37575084, 37347758, 11763173296, 37577137, 11763173297, 37039543, 37577657, 1930984890, 387550139, 387550140, 387550137, 37578175, 1930984895, 393530306, 1930984904, 1930984907, 37575629, 393530318, 1930984912, 1930984913, 37280722, 393530329, 37575131, 671374300, 1334544861, 664286691, 37304293, 105975273, 658944493, 602434545, 96250866, 393530356, 112934390, 37508094, 37520895}]",149490,IS695-.40 MI S OF MD122,exact
BALTO BELTWAY,BALTO BELTWAY,"[{602433536, 602433538, 1930984963, 1328774662, 621518857, 621518858, 1930984972, 37575698, 658945556, 4244978709, 37486614, 37577243, 37576735, 37384740, 766890534, 37578285, 37575729, 366493745, 766890549, 37576760, 37576249, 1334544954, 37316156, 110590016, 1332715584, 37574728, 1905375310, 37576783, 1905375311, 37341268, 37334102, 37311063, 110356054, 37360219, 37423196, 96250976, 37412963, 37030500, 1328771173, 37577839, 11735704183, 602433660, 683302525, 671741566, 648096382, 37577347, 648096387, 37408390, 37574794, 37030029, 1332714637, 37577875, 37575831, 37423257, 1332714649, 658943135, 1334545060, 37575333, 37535416, 835034811, 37577918, 12018670784, 37574353, 9265750741, 37578460, 37318878, 1334545119, 37545185, 968161510, 110356199, 37408497, 37473528, 602416376, 602416377, 5294671102, 37397249, 37283075, 1328771340, 37575437, 112988942, 1327789838, 37575954, 37576468, 37577493, 37576986, 37475100, 105999644, 37303582, 393385757, 775383839, 37314337, 37040420, 648096036, 37574954, 37429554, 1325748024, 37097785, 1328771390, 37365574, 37367111, 8268909383, 37099338, 37240651, 582584139, 37367117, 37519185, 775383890, 37426007, 37574490, 1328774491, 266721629, 37575007, 37576031, 27029857, 1332714338, 37097829, 266721638, 103325035, 37333868, 1332714351, 1328774511, 37548402, 37577587, 658944381, 37396351, 10053084035, 1225946500, 37576583, 37039502, 37576078, 7487021968, 1332714901, 37577111, 1930984859, 1930984860, 37099422, 105790881, 37574561, 658944419, 37402536, 1332714408, 37423532, 37575084, 37347758, 11763173296, 37577137, 11763173297, 37039543, 37577657, 1930984890, 387550139, 387550140, 387550137, 37578175, 1930984895, 393530306, 1930984904, 1930984907, 37575629, 393530318, 1930984912, 1930984913, 37280722, 393530329, 37575131, 671374300, 1334544861, 664286691, 37304293, 105975273, 658944493, 602434545, 96250866, 393530356, 112934390, 37508094, 37520895}]",194690,IS695-.50 MI N OF MD122,exact
BALTO BELTWAY,BALTO BELTWAY,"[{602433536, 602433538, 1930984963, 1328774662, 621518857, 621518858, 1930984972, 37575698, 658945556, 4244978709, 37486614, 37577243, 37576735, 37384740, 766890534, 37578285, 37575729, 366493745, 766890549, 37576760, 37576249, 1334544954, 37316156, 110590016, 1332715584, 37574728, 1905375310, 37576783, 1905375311, 37341268, 37334102, 37311063, 110356054, 37360219, 37423196, 96250976, 37412963, 37030500, 1328771173, 37577839, 11735704183, 602433660, 683302525, 671741566, 648096382, 37577347, 648096387, 37408390, 37574794, 37030029, 1332714637, 37577875, 37575831, 37423257, 1332714649, 658943135, 1334545060, 37575333, 37535416, 835034811, 37577918, 12018670784, 37574353, 9265750741, 37578460, 37318878, 1334545119, 37545185, 968161510, 110356199, 37408497, 37473528, 602416376, 602416377, 5294671102, 37397249, 37283075, 1328771340, 37575437, 112988942, 1327789838, 37575954, 37576468, 37577493, 37576986, 37475100, 105999644, 37303582, 393385757, 775383839, 37314337, 37040420, 648096036, 37574954, 37429554, 1325748024, 37097785, 1328771390, 37365574, 37367111, 8268909383, 37099338, 37240651, 582584139, 37367117, 37519185, 775383890, 37426007, 37574490, 1328774491, 266721629, 37575007, 37576031, 27029857, 1332714338, 37097829, 266721638, 103325035, 37333868, 1332714351, 1328774511, 37548402, 37577587, 658944381, 37396351, 10053084035, 1225946500, 37576583, 37039502, 37576078, 7487021968, 1332714901, 37577111, 1930984859, 1930984860, 37099422, 105790881, 37574561, 658944419, 37402536, 1332714408, 37423532, 37575084, 37347758, 11763173296, 37577137, 11763173297, 37039543, 37577657, 1930984890, 387550139, 387550140, 387550137, 37578175, 1930984895, 393530306, 1930984904, 1930984907, 37575629, 393530318, 1930984912, 1930984913, 37280722, 393530329, 37575131, 671374300, 1334544861, 664286691, 37304293, 105975273, 658944493, 602434545, 96250866, 393530356, 112934390, 37508094, 37520895}]",150783,IS 695 - .41 Mile North of Cromwell Bridge Rd (ATR#54),exact
